id,data,cliente_id,tipo,valor,descricao,categoria
1,2026-01-05,CLI001,credito,3500.00,Salário janeiro,salario
2,2026-01-12,CLI002,debito,180.50,Supermercado,compra
3,2026-01-18,CLI003,credito,12500.00,Venda de equipamento,transferencia
4,2026-01-25,CLI001,debito,89.90,Streaming,assinatura
5,2026-01-28,CLI002,debito,450.00,Conta de luz,conta
6,2026-02-03,CLI001,credito,3500.00,Salário fevereiro,salario
7,2026-02-10,CLI003,debito,1200.00,Aluguel,conta
8,2026-02-14,CLI002,credito,15000.00,Transferência recebida,transferencia
9,2026-02-20,CLI001,debito,320.75,Farmácia,compra
10,2026-02-25,CLI003,debito,99.90,Assinatura anual,assinatura
11,2026-03-01,CLI001,credito,3500.00,Salário março,salario
12,2026-03-07,CLI002,debito,760.40,Material de escritório,compra
13,2026-03-15,CLI003,credito,2200.00,Projeto freelance,transferencia
14,2026-03-22,CLI002,debito,150.00,Internet,conta
15,2026-03-30,CLI001,debito,58.30,Cafeteria,compra
abc,2026-01-09,CLI004,debito,120.00,ID não numérico,compra
17,2026-02-05,,debito,200.00,Cliente vazio,transferencia
18,05/01/2026,CLI002,credito,900.00,Data fora do padrão,salario
19,2026-03-11,CLI003,estorno,300.00,Tipo inválido,compra
20,2026-03-18,CLI001,debito,abc,Valor não numérico,compra
